joke_id,humor_score,TPJ,MTG,OFC,BA45
joke_000,2.95,0.00588969374075532,-0.035747379064559937,0.045467227697372437,-0.02355109341442585
joke_001,6.28,-0.0003513121628202498,-0.03207807242870331,0.04258745163679123,-0.023227771744132042
joke_002,7.02,0.002812736900523305,-0.024568047374486923,0.043400172144174576,-0.0342506468296051
joke_003,4.33,0.011695985682308674,-0.02745036594569683,0.0450153686106205,-0.0223699901252985
joke_004,8.23,0.00347666023299098,-0.026631252840161324,0.044474005699157715,-0.028362376615405083
joke_005,8.74,0.010360934771597385,-0.02712288498878479,0.04528370872139931,-0.02899012714624405
joke_006,7.02,0.008183873258531094,-0.018440933898091316,0.04226979240775108,-0.03468975052237511
joke_007,7.02,0.00628039101138711,-0.023630555719137192,0.033949002623558044,-0.017551716417074203
joke_008,7.67,0.0064776623621582985,-0.023804552853107452,0.046020250767469406,-0.026715347543358803
joke_009,6.28,0.0067053064703941345,-0.020001929253339767,0.03918527066707611,-0.034814056009054184
joke_010,2.95,0.002265297807753086,-0.035630613565444946,0.04380805790424347,-0.01707320101559162
joke_011,7.67,0.004557494074106216,-0.025561310350894928,0.04403902590274811,-0.018975265324115753
joke_012,7.67,0.005861019715666771,-0.02479066327214241,0.03711703419685364,-0.033424656838178635
joke_013,7.67,0.007885470986366272,-0.028762416914105415,0.04379841685295105,-0.017284482717514038
joke_014,7.02,-0.008987960405647755,-0.027094459161162376,0.040518902242183685,-0.01624317280948162
joke_015,6.28,0.010989892296493053,-0.026351135224103928,0.04647688567638397,-0.02043343335390091
joke_016,9.62,0.008419409394264221,-0.027992870658636093,0.04275461658835411,-0.020700640976428986
joke_017,2.95,0.006745988968759775,-0.02954648621380329,0.037982165813446045,-0.02932891435921192
joke_018,1.0,0.011405584402382374,-0.027808871120214462,0.04894817993044853,-0.02290625311434269
joke_019,8.74,0.0019843638874590397,-0.029660146683454514,0.03188639506697655,-0.020025333389639854
joke_020,1.0,0.00611522002145648,-0.024746034294366837,0.03898132964968681,-0.030394762754440308
joke_021,2.95,0.004617397673428059,-0.021674633026123047,0.038473788648843765,-0.038378071039915085
joke_022,7.02,0.0034577003680169582,-0.02469836361706257,0.03388471528887749,-0.031881414353847504
joke_023,7.67,0.001249320455826819,-0.03385716676712036,0.044141653925180435,-0.023163195699453354
joke_024,9.62,0.006734163500368595,-0.024927768856287003,0.04420207813382149,-0.03497365117073059
joke_025,8.23,-0.0003111165715381503,-0.027094867080450058,0.037733908742666245,-0.022683311253786087
joke_026,4.33,0.009500596672296524,-0.02381768636405468,0.045519281178712845,-0.022192463278770447
joke_027,1.0,0.0022165903355926275,-0.02748890034854412,0.03945714607834816,-0.025096584111452103
joke_028,2.95,0.012302575632929802,-0.028340740129351616,0.04216760769486427,-0.0278131403028965
joke_029,4.33,0.005267704837024212,-0.02289443649351597,0.04191553592681885,-0.03219328075647354
joke_030,1.0,0.00409042788669467,-0.032213546335697174,0.04492812976241112,-0.02422407455742359
joke_031,5.41,0.00652878126129508,-0.027005236595869064,0.0401105172932148,-0.02776200883090496
joke_032,1.0,0.007713870145380497,-0.03060046024620533,0.039056066423654556,-0.02252785861492157
joke_033,5.41,0.0034604244865477085,-0.03641047701239586,0.04610665142536163,-0.03044198453426361
joke_034,4.33,0.008350054733455181,-0.02737461030483246,0.03765122964978218,-0.03598841279745102
joke_035,1.0,0.010482600890100002,-0.026115672662854195,0.052634526044130325,-0.014590463601052761
joke_036,8.74,0.0016416149446740746,-0.024841124191880226,0.03565011918544769,-0.008410388603806496
joke_037,7.02,-0.0038765009958297014,-0.027752898633480072,0.032979484647512436,-0.01943323202431202
joke_038,1.0,0.007633622735738754,-0.027393409982323647,0.02613688074052334,-0.01949934847652912
joke_039,1.0,0.00339722353965044,-0.025789177045226097,0.045180950313806534,-0.029586469754576683
joke_040,1.0,0.0014061217661947012,-0.026508430019021034,0.03942399471998215,-0.020947670564055443
joke_041,4.33,-0.0003772622440010309,-0.01920405961573124,0.038733839988708496,-0.028614062815904617
joke_042,2.95,0.007917778566479683,-0.029762301594018936,0.04522276297211647,-0.02799927070736885
joke_043,2.95,0.009629555977880955,-0.02723841555416584,0.03362742066383362,-0.019353218376636505
joke_044,4.33,0.000547860749065876,-0.03133479133248329,0.039854180067777634,-0.024045778438448906
joke_045,4.33,0.006908084265887737,-0.029392879456281662,0.03694837912917137,-0.0314960777759552
joke_046,2.95,0.008393039926886559,-0.026003632694482803,0.04242129251360893,-0.03576621785759926
joke_047,9.62,0.019091103225946426,-0.026627467945218086,0.04123203828930855,-0.032703377306461334
joke_048,7.02,0.004838804714381695,-0.02898990921676159,0.03545033931732178,-0.015287878923118114
joke_049,6.28,0.014226589351892471,-0.03104161098599434,0.041745588183403015,-0.031405191868543625
joke_050,1.0,0.010797377675771713,-0.02359085902571678,0.04275912418961525,-0.024773625656962395
joke_051,7.02,0.007848023436963558,-0.026480816304683685,0.03507094085216522,-0.021692562848329544
